COG,Municipality,Year,Real.Estate.Taxes,Occupation.Taxes,Residence.Taxes,Regional.Asset.District.Sales.Tax,Per.Capita.Taxes,Real.Estate.Transfer.Taxes,Earned.Income.Taxes,Business.Gross.Receipts.Taxes,Occupation.Taxes.Act.511,Local.Services.Tax,Amusement.Admission.Taxes,Mechanical.Device.Taxes,Other.Taxes.1,Other.Taxes.2,Total.Taxes,A.O.Licenses.Permits,Cable.TV.Franchise.Fees,Fines.and.Forfeits,Interest.Earnings,Rents.and.Royalties,Federal.Grant.Highway.n.Streets,Federal.Grant.Community.Dev,A.O.Federal.Op.Grants,Federal.Revenue.National.Forest,A.O.Federal.Revenue,Federal.Payments.in.Lieu.of.Taxes,PA.Grant.Highways.and.Streets,PA.Grant.Community.Dev,PA.Recycling.Act.101.Revenue,A.O.State.Operating.Grants,PURTA.Revenue,MV.Fuel.Tax.n.State.Road,Alcoholic.Beverage.Licenses,Pension.System.State.Aid,Foreign.Fire.Insurance.Tax,Local.Gaming.Proceeds,Marcellus.Shale.Impact.Fee,A.O.State.Revenues,PA.Payments.in.Lieu.of.Taxes,Local.Grant.Highways.and.Streets,A.O.Local.Capital.and.Operating.Grants,Payments.for.Contracted.Services,Local.Payments.in.Lieu.of.Taxes,Charges.General.Government,Charges.Public.Safety,Charges.Parking,A.O.Charges.Highway.n.Street,Charges.Wastewater.Sewage,Charges.Solid.Waste,Host.Benefit.Fee.for.Waste.Facility,A.O.Charges.for.Sanitation,Charges.Health.Services,Charges.Human.Services,Charges.Culture.and.Recreation,Charges.Airports,Charges.Bars,Charges.Cemeteries,Charges.Electric.System,Charges.Gas.System,Charges.Housing.System,Charges.Markets,Charges.Transit.Systems,Charges.Water.Systems,A.O.Charges.for.Service,Special.Assessments,Escheats,Donations.Private.Sectors,Fiduciary.Fund.Pension.Contributions,A.O.Unclassified.Operating.Revenues,Proceeds.of.General.Fixed.Asset,Interfund.Operating.Transfers.Revenue,Proceeds.of.General.Long.Term.Debt,Proceeds.of.Short.Term.Debt,Refunds.of.Prior.Year.Expenditures,Total.Revenue,Legislative.Body.Expend,Manager.or.Mayor,Auditing.Services.Financial.Admin,Tax.Collection.Expend,Solicitor.Legal.Services.Expend,Secretary.Clerk,Other.Gen.Gov.Admin,IT.and.Data,Engineering.Services,General.Government.Buildings.n.Plant,Police,Fire,Ambulance.and.Rescue,UCC.and.Code.Enforcement,Planning.and.Zoning,Emergency.Management.n.Communications,Militia.and.Armories,Exam.of.Licensed.Occupations,Public.Scales.Weights.Measures,Other.Public.Safety,Total.Public.Safety,Health.and.Human.Services,Recycling.Collection.and.Disposal,Garbage.Collection.and.Disposal.Expend,Weed.Control,Wastewater.Sewage.Treatment.Expend,Admin.Highway.Streets.Expend,Cleaning.of.Streets.and.Gutters,Winter.Maintenance.and.Snow.Removal,Traffic.Control.Devices,Street.Lighting,Sidewalks.and.Crosswalks,Storm.Sewers.and.Drains,Repairs.of.Tools.and.Machinery,Maintenance.n.Repairs.Roads.Bridges,Highway.Construction.and.Rebuilding.Projects,Public.Works.Enterprises.Airports,Public.Works.Enterprises.Cemeteries,Public.Works.Enterprises.Electric.System,Public.Works.Enterprises.Gas.System,Public.Works.Enterprises.Markets,Public.Works.Enterprises.Parking,Public.Works.Enterprises.Flood.Control,Public.Works.Enterprises.Transit.System,Public.Works.Enterprises.Water.System,Public.Works.Enterprises.Water.Transport,Culture.Recreation.Admin.Expend,Participant.Recreation.Expend,Spectator.Recreation.Expend,Parks.Expend,Shade.Tree.Expend,Libraries.Expend,Civil.and.Military.Celebrations,Senior.Citizen.Centers,A.O.Culture.and.Recreation,Conservation.of.Natural.Resources,Community.Development.and.Housing,Economic.Development,Economic.Opportunity,A.O.Community.Development,Debt.Principal,Debt.Interest,Fiscal.Agent.Fees,Withholding.Taxes.n.Unemployment.Comp,Employer.Judgments.and.Losses,Pension.Retirement.Fund.Contributions,Worker.Compensation.Insurance,Other.Group.Insurance.Benefits,Insurance.Casualty.and.Surety,Fiduciary.Fund.Benefits.and.Refunds,A.O.Unclassified.Expenditures,Refund.of.Prior.Year.Revenues,Interfund.Operating.Transfers.Expend,A.O.Financing.Uses,Total.Expenditure,sum.code.enf,per.it.data,per.code.enf
QUAKER VALLEY,ALEPPO TWP,2006,576823,0,0,19134,0,33101,109285,41967,0,22492,0,0,0,0,802802,0,21220,2464,27977,1300,383276,0,0,0,0,0,0,0,0,0,1368,0,0,6431,0,0,0,0,9980,0,0,7316,195000,6988,11658,0,16703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5403,0,0,275000,826,1895729,7087,44832,49150,10933,99257,28722,0,2507,60282,21897,60462,84752,7283,10071,14839,0,0,0,0,0,177407,0,0,52847,0,0,138536,0,0,0,0,0,0,4073,0,391563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289928,13050,0,5267,12000,0,0,0,27633,0,0,295,34562,0,1489357,24910,0.168,1.673
QUAKER VALLEY,ALEPPO TWP,2007,566609,0,0,21067,0,151653,127877,58870,0,32942,0,0,0,0,959018,0,23178,3418,34997,1600,0,0,63445,0,0,0,8730,0,140,0,1200,0,0,9081,0,0,0,0,9717,0,0,0,199925,6926,8964,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31993,0,215000,0,1964973,11210,50105,5580,10538,57954,29468,35783,1989,33513,17592,36280,105801,0,5765,6556,8914,0,0,0,0,163316,0,0,71248,0,0,157089,0,0,0,0,0,0,1776,4000,169852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273529,13984,0,0,0,0,0,0,27877,0,0,9846,310175,0,1521115,12321,0.131,0.81
QUAKER VALLEY,ALEPPO TWP,2008,525981,0,0,18776,0,25035,153522,51607,0,25994,0,0,0,0,800915,0,26216,4393,17087,1800,0,0,22840,0,0,0,9476,0,379,0,1244,0,8671,9902,0,0,0,0,0,9774,0,0,192894,10195,16029,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15111,0,145000,0,8631,1441710,14021,50923,5405,10709,34585,31262,41018,20527,17274,33738,74004,81677,0,12665,8929,7273,0,0,0,0,184548,0,0,74300,0,1129,156838,0,0,0,0,0,0,621,3725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145000,3633,0,0,0,0,0,0,27407,0,0,6722,1.00E+05,0,1197174,21594,1.715,1.804
QUAKER VALLEY,ALEPPO TWP,2009,574683,0,0,19009,0,29496,153575,53808,0,29006,0,0,0,0,859577,0,27079,1294,5284,1800,0,0,0,0,0,0,10195,0,250,0,1103,0,0,8753,0,0,0,0,8539,10067,0,0,195907,3409,4761,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8674,1395241,12294,52921,5411,12217,48870,34758,42362,4125,15475,15518,78892,93518,0,1692,17628,9351,0,0,0,0,201081,0,0,77654,0,410133,218525,0,0,0,0,0,0,2268,5636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27812,0,0,2018,1.00E+05,0,1337536,19320,0.308,1.444
QUAKER VALLEY,ALEPPO TWP,2010,540612,0,0,18924,0,32642,172185,66994,0,33011,0,0,0,0,864368,0,30223,923,965,1800,0,0,0,0,6165,0,14222,0,348,0,1202,0,0,8316,9611,0,0,0,0,0,0,10368,198966,12178,45151,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E+05,1.00E+05,0,7627,1644807,12121,0,147503,10966,32417,0,0,0,6888,10800,83143,91848,0,35131,1285,9351,0,0,0,0,220758,0,0,81075,0,232563,184268,0,0,0,0,0,0,15508,225706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27501,0,0,355,130000,0,1483605,36416,0,2.455
QUAKER VALLEY,ALEPPO TWP,2011,543384,0,0,18887,0,25830,175253,48736,0,35066,0,0,0,0,847156,0,32513,1433,431,1800,0,0,0,0,0,0,11859,0,0,0,1192,0,0,8741,19870,0,0,0,0,0,0,10550,202070,2993,5165,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37221,0,0,10390,9383467,13646,0,133135,10871,38498,0,0,0,11726,32004,87637,104443,0,3240,6346,15328,0,0,0,0,216994,0,0,84140,0,153066,220250,0,0,0,0,0,0,5196,11757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,1650,0,0,0,0,0,0,28524,0,0,370,1.00E+05,0,1425215,9586,0,0.673
QUAKER VALLEY,ALEPPO TWP,2012,557714,0,0,28133,0,20867,207174,56330,0,33469,0,0,0,0,903687,0,34280,1358,327,1800,0,0,0,0,0,0,12258,0,0,0,1143,0,0,6706,11241,0,38,0,0,0,0,10867,208911,1664,5255,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15135,82505,0,0,13230,1434050,13092,0,135592,12176,46159,0,0,0,20272,36425,90347,97430,15596,3499,8451,0,0,0,0,0,215323,0,0,79984,0,85385,255089,0,0,0,0,0,0,3379,46471,82505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,1320,0,0,0,0,0,0,28723,0,0,0,0,0,7314233,11950,0,0.163
QUAKER VALLEY,ALEPPO TWP,2013,539179,0,0,35750,0,54327,204183,37223,0,38624,0,0,0,0,909286,0,35359,852,332,1800,0,0,0,0,0,0,15447,0,130,0,1110,0,0,6866,12778,0,69,0,0,0,0,11193,209674,1512,5749,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17550,0,0,0,86421,0,0,16061,2726122,14451,67524,73583,10132,30841,0,0,0,22092,13797,89389,99497,15328,3070,0,0,0,0,0,0,207284,0,0,108144,0,196136,195683,0,0,0,0,0,0,7356,56818,90967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,990,0,0,0,0,0,0,29103,0,0,1444,305000,0,3504152,3070,0,0.088
QUAKER VALLEY,ALEPPO TWP,2014,467512,0,0,38554,0,57155,215491,39285,0,43189,0,0,0,0,861186,0,36833,834,227,3000,0,0,0,0,0,0,14536,0,227,0,1108,0,0,11618,12075,0,96,0,0,8444,0,0,212933,2029,3499,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9201,191382,0,0,17883,2181598,16659,68618,77816,11919,34484,0,0,0,15615,15114,90866,107156,15584,1530,1503,0,0,0,0,0,216639,0,0,98468,0,155036,288605,0,0,0,0,0,0,12144,55028,88646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,660,0,0,0,16268,0,0,31228,0,0,328,0,0,2158208,3033,0,0.141
QUAKER VALLEY,ALEPPO TWP,2015,467799,0,0,39269,0,23543,223678,27830,0,40428,0,0,0,0,822547,0,37645,818,2930,3000,0,0,0,0,0,0,5453,0,0,0,920,0,200,11763,12215,0,178,0,0,8697,0,0,216241,4014,5302,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357005,0,0,33607,10556694,21193,70654,74632,10768,26876,0,0,0,31703,20448,93136,101753,16535,3113,0,0,0,0,0,0,214537,0,0,101627,0,149114,200334,0,0,0,0,0,0,12737,80541,425633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,330,0,0,0,18728,0,0,32997,0,0,909,0,0,11103938,3113,0,0.028
