Original_row_number,STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA,Municipality
182,42,488,1,3,4,8,0,11,3,61000,N&S RR  S.MAIN ST. RIVER',<Null>,62nd Street Bridge',62nd Street Bridge',5.77,10.678,1,20008,0,40291850,79561448,6,3,1,1,14,1960,4,8,13887,2022,5,15.2,3,99,1,1,0,0,0,3,1,164,121.4,A,5,8,4,9,4,3,4,12,7.5,121.9,641.9,1.4,1.4,15.2,16.3,5.77,R,6.71,H,8.2,0,5,6,5,7,N,1,47.2,1,14.5,3,3,6,5,9,5,35,1,642,1020,24,Y24,Y60,N,1020,820,<Null>,492,1449,6641,<Null>,<Null>,0,<Null>,0,N,2,<Null>,1,0,2008,1,1,0,1,4,0,1,Y,8,13300,2032,0,N,42,F,5,10462.97,Pittsburgh
183,42,491,1,3,1,8,1,11,3,24160,RT.28 RAILROAD LOCAL ST.',<Null>,SR 8 NB',62nd Street Bridge',4.6,10.678,1,20008,0,40294514,79562343,6,3,1,1,14,1960,2,5,16758,2022,5,5.8,0,99,1,1,1,1,1,5,N,0,0,A,6,4,3,2,0,0,11,0,6,26.8,235.3,0.2,0.2,6,7.1,4.6,H,5.23,H,2,1.5,7,7,5,N,N,1,44.5,1,26.3,5,2,5,5,N,8,35,2,239,1020,24,Y24,N,N,1020,<Null>,<Null>,102,299,1372,<Null>,<Null>,0,<Null>,0,N,1,<Null>,1,0,2008,1,1,0,1,10,0,<Null>,Y,N,12346,2032,0,N,42,F,5,1670.63,Sharpsburg Borough
184,42,492,1,3,7,8,3,11,3,24160,70 PAR 72 LOCAL RR',<Null>,SR 8 SB',62nd Street Bridge',4.44,10.678,1,20008,0,40294464,79562402,0,3,1,1,14,1960,1,21,16107,2022,5,6.4,0,99,1,1,1,1,1,5,N,0,0,A,6,4,3,2,0,0,11,0,6.7,25.9,212.8,0.2,0.2,6.4,7.5,4.44,H,4.6,H,0.6,0,7,7,5,N,N,1,41.7,1,25.4,5,5,3,5,N,8,35,2,218,1020,24,Y24,N,N,1020,<Null>,<Null>,77,226,1037,<Null>,<Null>,0,<Null>,0,N,1,<Null>,1,0,1985,1,1,0,1,9,0,<Null>,Y,N,12878,2032,0,N,42,F,5,1596,Etna Borough
185,42,495,1,3,1,8,0,11,3,69584,PINE CREEK',<Null>,RT 0008 NB SB',450S.OF SR 1013',99.99,13.061,1,20008,0,40303624,79564598,6,3,1,1,14,1925,4,0,32865,2022,5,15.2,2,45,0,1,0,0,0,5,0,0,0,A,5,5,1,11,0,0,1,0,15.3,21,33.8,1.6,1.3,15.3,18.9,99.99,N,0,N,0,0,N,5,5,6,N,0,49,0,32.7,5,3,N,5,6,8,35,2,34,1019,24,N,N,N,<Null>,<Null>,<Null>,19,55,253,<Null>,<Null>,0,<Null>,0,N,2,<Null>,1,0,2007,N,N,N,N,10,0,<Null>,Y,4,25224,2032,0,N,42,F,5,638.82,Shaler Township
186,42,496,1,3,1,8,0,11,3,69584,PINE CREEK NEAR FLOOD CH',<Null>,RT 0008 NB SB',NEAR INT WITH SAXONBURG B',99.99,13.061,1,20008,0,40304037,79564885,5,3,1,1,14,1925,4,0,32865,2022,5,17.4,2,5,0,1,0,0,0,5,0,0,0,A,5,5,1,11,0,0,1,0,17.1,20.4,20.4,1.2,1.2,17.5,20.1,99.99,N,0,N,0,0,N,5,6,8,N,0,49,0,32.7,5,5,N,5,6,8,<Null>,<Null>,36,1019,24,N,N,N,<Null>,<Null>,<Null>,0,0,0,<Null>,<Null>,0,<Null>,0,N,2,<Null>,1,0,2007,N,N,N,N,10,0,<Null>,Y,4,25224,2032,0,N,42,F,5,410.04,Shaler Township
187,42,497,1,3,1,8,0,11,3,69584,PINE CREEK',<Null>,RT 0008 NB SB',0.8 MI N OF SR 1013',99.99,14.848,1,20008,0,40311362,79570166,5,3,1,1,14,1912,4,0,21271,2021,5,13.4,0,30,0,1,1,0,0,5,0,0,0,A,5,5,1,11,0,0,1,0,13.4,19.2,19.2,1.1,1.2,13.4,16.5,99.99,N,0,N,0,0,N,5,5,5,N,0,49,0,32.7,5,2,N,5,6,8,35,1,19,1019,24,N,N,N,<Null>,<Null>,<Null>,48,142,650,<Null>,<Null>,0,<Null>,0,N,2,<Null>,1,0,1958,N,N,N,N,9,0,<Null>,Y,4,22698,2032,0,N,42,F,5,316.8,Shaler Township
188,42,498,1,3,1,8,0,11,3,69584,PINE CREEK',<Null>,RT 0008 NB SB',150N.SPENCER LANE',99.99,16.291,1,20008,0,40314885,79571340,5,3,1,1,14,1933,4,0,21271,2021,5,14.6,0,30,0,1,1,1,1,5,0,0,0,A,1,5,3,2,0,0,1,0,14.7,17.1,18.3,0.8,1,14.6,17.3,99.99,N,0,N,0,0,6,6,5,6,N,1,42.6,1,25.4,5,2,N,5,6,7,35,2,18,1019,24,N,N,N,<Null>,<Null>,<Null>,17,50,228,<Null>,<Null>,0,<Null>,0,N,2,<Null>,1,0,1959,1,6,0,0,9,0,<Null>,Y,5,22698,2032,0,N,42,F,5,316.59,Shaler Township
189,42,499,1,3,1,8,0,11,3,69584,PINE CREEK',<Null>,RT 0008 NB SB',250 S.E. OF SR 4060',99.99,17.5,1,20008,0,40321336,79574472,6,3,1,1,14,1933,4,0,21271,2021,5,18.3,2,30,0,1,1,1,1,5,0,0,0,A,5,5,5,6,0,0,1,0,18.4,16.8,17.4,0.2,0.9,18.4,20.7,99.99,N,0,N,0,0,6,8,6,5,N,1,89.8,1,36.3,6,5,N,5,6,7,<Null>,<Null>,18,1019,24,N,N,N,<Null>,<Null>,<Null>,0,0,0,<Null>,<Null>,0,<Null>,0,N,2,<Null>,1,0,1997,1,5,0,1,9,0,<Null>,Y,8,22698,2032,0,N,42,F,6,360.18,Shaler Township
190,42,501,1,3,1,8,0,11,3,32328,PINE CREEK',<Null>,RT 0008 NB SB',600SOUTH OF DUNCAN AVE.',99.99,19.554,1,20008,0,40332642,79573165,5,3,1,1,14,1959,2,0,21274,2022,5,14.6,0,38,0,1,1,1,1,5,0,0,0,A,5,5,5,5,0,0,1,0,14.6,25.6,27.7,1.5,1.5,14.6,18.6,99.99,N,0,N,0,0,8,8,6,6,N,1,99.9,1,76.2,6,9,N,5,6,8,31,1,28,1019,24,N,N,N,<Null>,<Null>,<Null>,110,324,1485,<Null>,<Null>,0,<Null>,0,N,2,<Null>,1,0,2007,N,1,0,1,6,0,<Null>,Y,4,22831,2032,0,N,42,F,6,515.22,Hampton Township
191,42,502,1,3,1,8,0,11,3,32328,GOURDHEAD RUN',<Null>,RT 0008 NB SB',.5 MI. SOUTH OF SR 1010',99.99,20.464,1,20008,0,40335125,79572831,6,3,1,1,14,1931,4,0,23057,2022,5,14.3,0,45,0,1,1,0,1,5,0,0,0,A,5,5,3,2,0,0,1,0,14.3,13.7,14,2.8,1.3,18.3,19.3,99.99,N,0,N,0,0,8,8,7,7,N,1,99.9,1,77.1,7,5,N,5,9,7,31,1,15,1019,24,N,N,N,<Null>,<Null>,<Null>,52,152,697,<Null>,<Null>,0,<Null>,0,N,2,<Null>,1,0,2010,1,1,0,1,6,0,<Null>,Y,5,17164,2032,0,N,42,G,7,270.2,Hampton Township
